Title,SOC_Code,Cluster,Description,Skills,Tools,Education_Level,Experience_Needed,Training,Certifications,Salary_Range,Resources,R,I,A,S,E,C
Video Editor,27-4032.00,Film & Video,"Edit and assemble recorded footage into polished video content for films, television, and online platforms.",Video Editing; Storytelling; Attention to Detail; Creativity; Timing,Adobe Premiere Pro; Final Cut Pro; DaVinci Resolve,Bachelorâ€™s in Film/Media recommended; portfolio-based entry common.,Internships or independent projects showcasing editing ability.,"Editing bootcamps, media production programs, online tutorials.",Adobe Premiere Pro Professional Certification,"$40,000 â€“ $85,000",https://www.youtube.com/watch?v=Hls3Tp7JS8E; https://www.coursera.org/learn/video-editing,2,1,5,1,1,2
Cinematographer,27-4031.00,Film & Video,"Design and execute the visual look of a film or video through lighting, framing, and camera operation.",Lighting; Camera Operation; Composition; Artistic Vision,Cinema Cameras; Lighting Kits; Gimbals,Film or cinematography degree preferred; strong demo reel essential.,Short films or digital content projects.,"Film school, lighting workshops, cinematography MasterClasses.",,"$45,000 â€“ $120,000",https://www.masterclass.com/classes/filmmaking; https://www.coursera.org/learn/filmmaking,2,2,5,1,2,2
Camera Operator,27-4031.00,Film & Video,"Operate cameras during film shoots, TV productions, and live events.",Camera Operation; Coordination; Focus Control,Broadcast Cameras; Stabilizers; Tripods,Film or media programs helpful; hands-on experience valued.,Demonstrated ability with camera equipment and shooting techniques.,"Hands-on workshops, online filmmaking courses.",,"$35,000 â€“ $75,000",https://www.youtube.com/watch?v=FkKzYV5JvMo; https://www.skillshare.com/browse/filmmaking,3,1,4,1,1,2
Film Director,27-2012.00,Film & Video,"Lead the creative and narrative direction of film, TV, or digital productions.",Leadership; Vision; Communication; Script Interpretation,Storyboards; DSLR Cameras; Shot List Software,Bachelorâ€™s in Film recommended; many are self-taught.,Short films and directing samples.,"Film school, directing workshops.",,"$50,000 â€“ $150,000+",https://www.coursera.org/learn/filmmaking; https://www.youtube.com/watch?v=7Z7oQpZxU8E,2,2,5,1,5,2
Producer,27-2012.00,Film & Video,"Oversee production logistics, budgeting, scheduling, and coordination from preproduction to delivery.",Project Management; Budgeting; Hiring; Leadership,Production Software; Scheduling Tools,"Bachelorâ€™s in Film, Business, or Communications.",Production coordination or assistant producing.,Film and production management programs.,,"$55,000 â€“ $150,000",https://www.udemy.com/course/film-producer; https://www.youtube.com/watch?v=H5z4VnI0wXg,2,2,3,2,5,4
Writer / Author,27-3043.00,Writing & Journalism,"Develop scripts, stories, and written content for creative, journalistic, or entertainment projects.",Storytelling; Research; Editing; Creativity,Final Draft; Google Docs; Scrivener,"Bachelorâ€™s in English, Film, or Journalism helpful.",Writing samples or portfolio.,"Creative writing workshops, screenwriting courses.",,"$40,000 â€“ $110,000",https://www.masterclass.com/classes/creative-writing; https://www.skillshare.com/browse/writing,1,3,5,2,1,2
Sound Engineering Technician,27-4014.00,"Film, Music & Sports","Record, mix, and edit audio for film, music, live events, and studio settings.",Sound Mixing; Acoustics; Technical Precision,Pro Tools; Audio Mixers; Microphones,Associateâ€™s or Bachelorâ€™s in Audio Engineering.,Studio or live sound experience.,"Audio engineering bootcamps, DAW courses.",Avid Pro Tools Certification,"$35,000 â€“ $90,000",https://www.udemy.com/course/audio-engineering; https://www.youtube.com/watch?v=VVPu_9_5v6Y,4,3,3,1,1,3
Audio/Video Technician,27-4011.00,Film & Television,"Set up, operate, and troubleshoot audio and video equipment for events and productions.",Equipment Setup; Troubleshooting; Timing,AV Consoles; Projectors; Microphones,Technical certificate or associate degree.,Live event or AV experience.,AV technician training programs.,,"$30,000 â€“ $65,000",https://www.coursera.org/learn/music-tech; https://www.youtube.com/watch?v=teJf_9DOJcQ,4,2,3,1,1,4
Makeup Artist (Theatrical),39-5091.00,Film & Television,"Create makeup looks, prosthetics, and character transformations for film, theater, and performances.",Color Theory; Face Sculpting; Airbrushing; Creativity,Makeup Kits; Airbrush Systems; Prosthetic Materials,Cosmetology school or theatrical makeup training.,Portfolio of character looks.,Makeup artistry programs; special effects workshops.,,"$35,000 â€“ $95,000",https://www.skillshare.com/classes/makeup; https://www.youtube.com/watch?v=8zQW7C-hK1I,1,1,5,2,1,2
Set & Exhibit Designer,27-1027.00,Film & Television,"Design and build sets, exhibits, and environments for productions and displays.",Spatial Design; Drafting; Art Direction,AutoCAD; SketchUp; Set Construction Materials,"Bachelorâ€™s in Design, Architecture, or Theatre.",Set designs and digital models.,Scenic design programs.,,"$40,000 â€“ $90,000",https://www.coursera.org/learn/design; https://www.youtube.com/watch?v=6J4PpBTV0b8,3,2,5,1,2,3
